번호,발생시각,년,월 ,일,규모,위도,경도,위치,위도(숫자)
204,2016-10-12,2016,10,12,2.9,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
203,2016-10-10,2016,10,10,3.3,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.75 
202,2016-10-09,2016,10,9,2.2,35.08 N,126.93 E,광주 동구 남쪽 7km 지역,35.08 
201,2016-10-07,2016,10,7,2.2,35.77 N,129.23 E,경북 경주시 남쪽 10km 지역,35.77 
200,2016-10-05,2016,10,5,2.3,38.76 N,125.62 E,북한 황해북도 송림시 북북서쪽 3km 지역,38.76 
199,2016-10-04,2016,10,4,2.6,35.76 N,129.19 E,경북 경주시 남남서쪽9km 지역,35.76 
198,2016-10-02,2016,10,2,3,35.75 N,129.19 E,경북 경주시 남남서쪽10km 지역,35.75 
197,2016-10-01,2016,10,1,2.3,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
196,2016-10-01,2016,10,1,2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
195,2016-09-30,2016,9,30,2.2,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.75 
194,2016-09-30,2016,9,30,2.3,35.76 N,129.16 E,경북 경주시 남남서쪽 10km 지역,35.76 
193,2016-09-30,2016,9,30,2,35.77 N,129.16 E,경북 경주시 남남서쪽 9km 지역,35.77 
192,2016-09-30,2016,9,30,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
191,2016-09-28,2016,9,28,2.7,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,35.77 
190,2016-09-28,2016,9,28,2.6,38.74 N,125.73 E,북한 황해북도 송림시 동쪽 8km 지역,38.74 
189,2016-09-28,2016,9,28,2.8,38.74 N,125.69 E,북한 황해북도 송림시 동쪽 5km 지역,38.74 
188,2016-09-28,2016,9,28,3.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
187,2016-09-24,2016,9,24,2.5,35.79 N,129.19 E,경북 경주시 남남서쪽 6km 지역,35.79 
186,2016-09-23,2016,9,23,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
185,2016-09-22,2016,9,22,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
184,2016-09-22,2016,9,22,2.3,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
183,2016-09-21,2016,9,21,3.5,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.75 
182,2016-09-21,2016,9,21,2.2,35.78 N,129.15 E,경북 경주시 남서쪽 9km 지역,35.78 
181,2016-09-21,2016,9,21,2.9,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,35.77 
180,2016-09-21,2016,9,21,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
179,2016-09-20,2016,9,20,2.1,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,35.77 
178,2016-09-20,2016,9,20,2.5,38.36 N,128.09 E,북한 강원도 양구군 북북동쪽 29km 지역,38.36 
177,2016-09-20,2016,9,20,2.4,35.76 N,129.20 E,경북 경주시 남쪽 9km 지역,35.76 
176,2016-09-19,2016,9,19,2.1,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역,35.75 
175,2016-09-19,2016,9,19,4.5,35.74 N,129.18 E,경북 경주시 남남서쪽 11km 지역,35.74 
174,2016-09-19,2016,9,19,2.1,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
173,2016-09-18,2016,9,18,2,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.75 
172,2016-09-18,2016,9,18,2.4,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
171,2016-09-17,2016,9,17,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
170,2016-09-17,2016,9,17,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
